Date,raw,pctl_10y,flipped_pctl,delta_12m,delta_pctl,zscore_10y,delta_zscore
1933-01-31,8.7,21.84873949579832,78.15126050420167,-0.6000000000000014,33.61344537815126,-0.8887714559990078,-0.12277738144081551
1933-02-28,7.8,8.403361344537815,91.59663865546219,-1.5000000000000009,31.092436974789916,-1.019024356811575,-0.29167084392629755
1933-03-31,7.9,10.084033613445378,89.91596638655463,-1.5,31.932773109243694,-1.0024649263400156,-0.28624135135517187
1933-04-30,8.7,21.84873949579832,78.15126050420167,1.4999999999999991,55.46218487394958,-0.886037138145359,0.29491989376715694
1933-05-31,11.3,44.537815126050425,55.462184873949575,4.9,78.15126050420169,-0.5109481586948101,0.9434243531733811
1933-06-30,13.1,52.94117647058824,47.05882352941176,7.5,94.9579831932773,-0.2543079045667513,1.421485028548998
1933-07-31,13.8,54.621848739495796,45.378151260504204,8.0,95.7983193277311,-0.15972345750533998,1.4899653715758125
1933-08-31,13.0,50.42016806722689,49.57983193277311,4.199999999999999,73.94957983193278,-0.2866259529677498,0.7596261455052533
1933-09-30,12.9,49.57983193277311,50.42016806722689,3.0999999999999996,69.74789915966386,-0.30970911495311565,0.5446661894689502
1933-10-31,11.7,43.69747899159664,56.30252100840336,3.1999999999999993,69.74789915966386,-0.4970758378391584,0.5562141699371387
1933-11-30,12.0,44.537815126050425,55.462184873949575,3.5,70.58823529411765,-0.45949128807557443,0.6058311793047222
1933-12-31,12.3,44.537815126050425,55.462184873949575,4.0,72.26890756302521,-0.421673937389766,0.692139145559807
1934-01-31,13.0,49.57983193277311,50.42016806722689,4.300000000000001,73.94957983193278,-0.3230864952794534,0.739997846907478
1934-02-28,13.9,54.621848739495796,45.378151260504204,6.1000000000000005,87.39495798319328,-0.1941026430584374,1.062925944725081
1934-03-31,13.3,52.10084033613446,47.89915966386554,5.4,81.5126050420168,-0.29391048628990635,0.9195872405065924
1934-04-30,13.5,52.10084033613446,47.89915966386554,4.800000000000001,73.94957983193278,-0.2717102855217203,0.7975646629132311
1934-05-31,12.2,40.33613445378151,59.66386554621849,0.8999999999999986,35.294117647058826,-0.4803036390112978,0.07152304312285201
1934-06-30,12.3,40.33613445378151,59.66386554621849,-0.7999999999999989,33.61344537815126,-0.4722713078185963,-0.24237536783395283
1934-07-31,11.7,36.134453781512605,63.865546218487395,-2.1000000000000014,30.252100840336134,-0.572148534138793,-0.47857617340354847
1934-08-31,11.3,31.932773109243694,68.0672268907563,-1.6999999999999993,31.932773109243694,-0.6399655904587308,-0.39948437890976857
1934-09-30,10.9,27.73109243697479,72.26890756302521,-2.0,31.092436974789916,-0.7076418319241139,-0.44996870488067203
1934-10-31,11.1,28.57142857142857,71.42857142857143,-0.5999999999999996,37.81512605042017,-0.6818846018362948,-0.187908689121325
1934-11-30,11.5,35.294117647058826,64.70588235294117,-0.5,38.655462184873954,-0.623946258368065,-0.1666004713735889
1934-12-31,11.6,35.294117647058826,64.70588235294117,-0.7000000000000011,36.97478991596639,-0.612636417880086,-0.2002615225060855
1935-01-31,11.5,33.61344537815126,66.38655462184875,-1.5,34.45378151260504,-0.6320576298427152,-0.3436048256557901
1935-02-28,11.1,25.210084033613445,74.78991596638656,-2.8000000000000007,29.411764705882355,-0.6983405401261276,-0.576929071083744
1935-03-31,10.4,18.487394957983195,81.5126050420168,-2.9000000000000004,28.57142857142857,-0.8118344157622464,-0.5880371797790619
1935-04-30,11.1,24.369747899159663,75.63025210084034,-2.4000000000000004,31.932773109243694,-0.7036542167994195,-0.48911847084803994
1935-05-31,12.0,37.81512605042017,62.18487394957983,-0.1999999999999993,43.69747899159664,-0.5643287569948024,-0.07987853061525702
1935-06-30,12.5,42.016806722689076,57.983193277310924,0.1999999999999993,44.537815126050425,-0.4891689527022242,-0.003694954883079436
1935-07-31,13.2,49.57983193277311,50.42016806722689,1.5,51.26050420168067,-0.38219761406469693,0.23664009913435058
1935-08-31,14.1,55.46218487394958,44.53781512605042,2.799999999999999,63.02521008403361,-0.24351887747178672,0.4743088564424384
1935-09-30,14.4,55.46218487394958,44.53781512605042,3.5,65.54621848739495,-0.2010580253609317,0.6002200406763708
1935-10-31,14.8,56.30252100840336,43.69747899159664,3.700000000000001,66.38655462184873,-0.14223369905308186,0.6342514475691097
1935-11-30,16.1,62.18487394957983,37.81512605042017,4.600000000000001,73.10924369747899,0.06180912074820093,0.7942542922471134
1935-12-31,16.2,63.02521008403361,36.97478991596639,4.6,72.26890756302521,0.07145966463004863,0.7883326426874148
1936-01-31,17.1,66.38655462184873,33.61344537815127,5.600000000000001,82.35294117647058,0.21073669727496544,0.9620265858783066
1936-02-29,18.1,68.0672268907563,31.932773109243698,7.000000000000002,93.27731092436974,0.36557552205944105,1.2024144890564379
1936-03-31,18.7,71.42857142857143,28.57142857142857,8.299999999999999,96.63865546218487,0.45382520292851053,1.4157199188713814
