Date,margin_debt,margin_yoy,delta_yoy_6m,yoy_zscore,yoy_pctl,peak_signal,spx_yoy,margin_minus_spx
2011-03-31,355413,27.939366014154167,14.388775121341293,0.878494106840165,83.19327731092437,0,13.374036923971499,14.565329090182669
2011-04-30,360883,22.10556589409576,7.778728318173769,0.6349601329260333,72.26890756302521,1,14.90966393636024,7.195901957735522
2011-05-31,355736,32.4575709509022,9.208650683797792,1.0315164403029773,89.91596638655463,0,23.47968166255128,8.977889288350923
2011-06-30,345273,31.18175393803999,11.639377633252245,0.9654341150164178,87.39495798319328,0,28.129153690174746,3.052600247865243
2011-07-31,344572,28.827373741905586,6.154502150079576,0.8569005933113272,83.19327731092437,0,17.30936819172113,11.518005550184455
2011-08-31,308866,15.08918623845348,-17.271797918993514,0.2847081680427142,50.42016806722689,1,16.158882334442005,-1.0696960959885242
2011-09-30,298277,3.3745754488112567,-24.56479056534291,-0.217300772522707,32.773109243697476,1,-0.8569926393270255,4.231568088138282
2011-10-31,317028,4.4821176687715125,-17.62344822532425,-0.18937104288855375,32.773109243697476,1,5.9192400655815325,-1.43712239681002
2011-11-30,303930,-1.7488847223120163,-34.206455673214215,-0.47242639944001985,31.092436974789916,1,5.625344119266451,-7.374228841578468
2011-12-31,301616,-3.8453445890371696,-35.02709852707716,-0.5743646562879129,27.73109243697479,1,-0.0031805604147616684,-3.842164028622408
2012-01-31,309844,-5.208218608123161,-34.03559235002875,-0.6444050815888454,26.05042016806723,0,2.0441327403352805,-7.252351348458442
2012-02-29,323021,-7.438269924551333,-22.527456163004814,-0.7518582336648202,25.210084033613445,0,2.8977863504166645,-10.336056274967998
2012-03-31,330815,-6.9209623733515695,-10.295537822162826,-0.7299068440196018,25.210084033613445,0,6.2330766387847625,-13.154039012136332
2012-04-30,335154,-7.129457469595413,-11.611575138366925,-0.7405905776739514,24.369747899159663,0,2.515381964051322,-9.644839433646734
2012-05-31,315147,-11.40986574313536,-9.660981020823343,-0.9312166552593283,17.647058823529413,0,-2.5921796015462517,-8.817686141589107
2012-06-30,320952,-7.043991276468187,-3.1986466874310175,-0.7427828296697745,24.369747899159663,0,3.1439302156530236,-10.18792149212121
2012-07-31,313525,-9.010308440616187,-3.802089832493026,-0.8354275788339389,21.008403361344538,0,6.735382424861491,-15.745690865477679
2012-08-31,320395,3.732686666709828,11.170956591261161,-0.2790193828942861,31.932773109243694,0,15.398436282191152,-11.665749615481324
2012-09-30,339159,13.706051757259186,20.627014130610753,0.15721771699847545,47.89915966386555,0,27.3329090876951,-13.626857330435914
2012-10-31,342325,7.979421376029872,15.108878845625284,-0.1066240160675178,34.45378151260504,0,12.675337110029528,-4.695915733999656
2012-11-30,351441,15.632217944921534,27.04208368805689,0.22850754787281813,53.78151260504202,0,13.570603708218387,2.0616142367031465
2012-12-31,355009,17.70231022226938,24.746301498737566,0.3119368509102594,60.50420168067227,0,13.405693384223927,4.296616838045452
2013-01-31,388123,25.264003821277804,34.27431226189399,0.6432446476393743,76.47058823529412,0,14.149541682858246,11.114462138419558
2013-02-28,390351,20.84384606573566,17.111159399025833,0.43160756040565734,63.02521008403361,0,10.910315740144094,9.933530325591567
2013-03-31,403933,22.102383507398393,8.396331750139208,0.47840635149508504,68.0672268907563,0,11.410963669797724,10.69141983760067
2013-04-30,408677,21.93707967083789,13.957658294808017,0.4601519498832682,66.38655462184873,0,14.282750677797562,7.654328993040327
2013-05-31,401606,27.434498821185027,11.802280876263493,0.7013685004342437,79.83193277310924,0,24.452618805949644,2.981880015235383
2013-06-30,407681,27.02242079812558,9.320110575856202,0.6743712985587131,78.99159663865547,0,17.921536383391068,9.100884414734512
2013-07-31,412101,31.44119288732956,6.177189066051756,0.871088621092415,87.39495798319328,0,22.214569498013525,9.226623389316035
2013-08-31,414442,29.353454329811647,8.509608264075986,0.7704582272084656,83.19327731092437,0,16.095067468611823,13.258386861199824
2013-09-30,432852,27.625096193820585,5.522712686422192,0.6904597687706293,78.15126050420169,0,16.71999833410842,10.905097859712164
2013-10-31,445022,29.999853939969334,8.062774269131445,0.7968410058023652,84.03361344537815,1,24.38675504192158,5.6130988980477525
2013-11-30,456378,29.859065959862384,2.4245671386773573,0.7910780245001288,83.19327731092437,0,27.512745554943564,2.3463204049188207
2013-12-31,478502,34.78587866786476,7.763457869739177,1.012548331005983,91.59663865546219,0,29.601245275874867,5.184633391989891
2014-01-31,487549,25.61713683548772,-5.82405605184184,0.599398848466613,73.94957983193278,1,18.989259800682202,6.627877034805518
2014-02-28,502093,28.626031443495737,-0.7274228863159102,0.7412598890949519,79.83193277310924,1,22.76190350437055,5.864127939125186
2014-03-31,487932,20.795280405413763,-6.8298157884068225,0.38836208748337353,58.82352941176471,1,19.3188842651304,1.476396140283363
2014-04-30,475195,16.276423679335995,-13.72343026063334,0.19056813874991302,50.42016806722689,1,17.92597507464462,-1.6495513953086238
2014-05-31,475362,18.36526346717928,-11.493802492683105,0.29049405092152913,57.14285714285714,1,17.95687847234997,0.40838499482930857
2014-06-30,502270,23.201718991073903,-11.584159676790854,0.510761406860564,70.58823529411765,0,22.03538610952014,1.166332881553764
2014-07-31,498671,21.006986151453155,-4.610150684034565,0.4039507738850907,60.50420168067227,0,14.530203532000986,6.47678261945217
2014-08-31,501000,20.88543149584261,-7.740599947653127,0.39478077423112934,59.66386554621849,0,22.68259674090767,-1.7971652450650595
2014-09-30,503901,16.4141554157079,-4.381124989705864,0.18700139943600314,47.89915966386555,0,17.29000029734471,-0.8758448816368123
2014-10-31,492888,10.75587274337,-5.5205509359659946,-0.07345294172555565,31.932773109243694,0,14.887790770491982,-4.131918027121982
2014-11-30,496341,8.756557064538617,-9.608706402640662,-0.16314429925858132,28.57142857142857,0,14.494880413775535,-5.738323349236918
2014-12-31,495756,3.605836548227592,-19.59588244284631,-0.39464215226307525,24.369747899159663,0,11.390638187366097,-7.7848016391385055
2015-01-31,485872,-0.3439654270647629,-21.35095157851792,-0.569922438203784,23.52941176470588,0,11.915246916004252,-12.259212343069015
2015-02-28,504923,0.5636406004465355,-20.321790895396074,-0.5212148722214414,24.369747899159663,0,13.178628088951028,-12.614987488504493
2015-03-31,518055,6.173606158235168,-10.240549257472733,-0.25807370449115946,28.57142857142857,0,10.444150100943194,-4.270543942708026
2015-04-30,549964,15.734382727090978,4.978509983720977,0.17996595421079625,47.89915966386555,0,10.698797738793498,5.0355849882974795
2015-05-31,541671,13.949158746386958,5.192601681848341,0.09742793228345749,42.016806722689076,0,9.556189792937086,4.392968953449872
2015-06-30,547957,9.0961036892508,5.4902671410232085,-0.12367147683733005,32.773109243697476,0,5.2483637124215,3.8477399768293
2015-07-31,530744,6.431695446496799,6.775660873561562,-0.23982485429018188,29.411764705882355,0,8.969425121848907,-2.537729675352108
2015-08-31,515960,2.98602794411178,2.4223873436652443,-0.3912047467323198,25.210084033613445,0,-1.5568766628231367,4.542904606934917
2015-09-30,497279,-1.3141470249116385,-7.487753183146806,-0.5793599012052257,23.52941176470588,0,-2.6497117563847095,1.335564731473071
2015-10-31,513941,4.271355764392726,-11.463026962698251,-0.31509190989981295,29.411764705882355,0,3.038081316121999,1.233274448270727
2015-11-30,515410,3.8419151349576186,-10.10724361142934,-0.3304872455067972,29.411764705882355,0,0.6215055427653882,3.2204095921922304
2015-12-31,503444,1.5507628752854163,-7.5453408139653835,-0.4318705016304371,26.05042016806723,0,-0.726601583369757,2.2773644586551733
2016-01-31,487200,0.27332301511509,-6.158372431381709,-0.48433535644249953,25.210084033613445,0,-2.7443746585195883,3.0176976736346783
2016-02-29,474156,-6.093404340859898,-9.079432284971677,-0.7691059092286908,18.487394957983195,0,-8.185792349726773,2.092388008866875
2016-03-31,483909,-6.591192054897643,-5.277045029986005,-0.7820483797263925,18.487394957983195,0,-0.39412154418272394,-6.197070510714919
2016-04-30,495178,-9.96174295044766,-14.233098714840384,-0.9222551057336797,14.285714285714285,0,-0.9690675182569275,-8.992675432190731
2016-05-31,489867,-9.563738874704386,-13.405654009662005,-0.8913953256859122,15.126050420168067,0,-0.49492500201669953,-9.068813872687686
2016-06-30,487636,-11.00834554536214,-12.559108420647556,-0.9449409723781284,12.605042016806722,0,1.7328208384429278,-12.741166383805067
2016-07-31,513221,-3.3015917278386597,-3.57491474295375,-0.5888053516320039,26.05042016806723,0,3.3158415088599735,-6.617433236698633
2016-08-31,510157,-1.12469958911543,4.968704751744468,-0.48614542092044105,29.411764705882355,0,10.078694642476837,-11.203394231592267
2016-09-30,540615,8.714624989191178,15.30581704408882,-0.04055551296435481,42.016806722689076,0,12.928964651593988,-4.214339662402811
2016-10-31,523760,1.9105305861957025,11.872273536643362,-0.3453310429798229,33.61344537815126,0,2.250211603570329,-0.3396810173746265
2016-11-30,539972,4.765526474069182,14.329265348773568,-0.20983468527840154,40.33613445378151,0,5.691185872015625,-0.9256593979464434
2016-12-31,529372,5.1501259325764215,16.158471477938562,-0.18548912635552134,41.17647058823529,0,9.53501570496198,-4.384889772385558
2017-01-31,553557,13.620073891625603,16.921665619464264,0.20291215702465837,51.26050420168067,0,17.45299550571062,-3.832921614085018
2017-02-28,568637,19.92614245100768,21.05084204012311,0.4944079006727583,64.70588235294117,0,22.327052162527217,-2.4009097115195353
2017-03-31,577674,19.37657700104771,10.661952011856533,0.4708294927001929,63.86554621848739,0,14.70962354471923,4.66695345632848
2017-04-30,590797,19.31002588968007,17.39949530348437,0.4726978054109116,63.86554621848739,0,15.440856049968499,3.869169839711571
2017-05-31,582764,18.963718723653567,14.198192249584386,0.47507066143684307,63.86554621848739,0,15.014115672211204,3.949603051442363
2017-06-30,584258,19.814369734802195,14.664243802225773,0.5448754271822438,67.22689075630252,0,15.463156189550498,4.351213545251698
2017-07-31,594414,15.820280152215126,2.200206260589523,0.3840511118729815,57.14285714285714,0,13.65016562384984,2.1701145283652856
2017-08-31,596567,16.93792303153736,-2.9882194194703224,0.4565542371796343,60.50420168067227,0,13.851079020705237,3.086844010832122
2017-09-30,606334,12.156340464101078,-7.220236536946633,0.23148547939514133,49.57983193277311,0,16.192171639140884,-4.035831175039807
2017-10-31,607838,16.052772262104774,-3.2572536275752952,0.4419551931066807,58.82352941176471,0,21.12315687980624,-5.070384617701464
2017-11-30,627422,16.195284199921467,-2.7684345237321004,0.45634016476589745,59.66386554621849,0,20.409676143004617,-4.21439194308315
2017-12-31,642798,21.42652048087168,1.612150746069485,0.7198774261238711,76.47058823529412,0,19.41996489237683,2.0065555884948516
2018-01-31,665716,20.261508751582944,4.441228599367818,0.6589636225917668,71.42857142857143,0,23.912728676931994,-3.65121992534905
2018-02-28,645064,13.440384639057967,-3.4975383924793917,0.314454405113596,50.42016806722689,0,14.815707975833892,-1.3753233367759243
2018-03-31,645235,11.6953506649079,-0.46098979919317706,0.22501048171664323,48.739495798319325,0,11.772448703189543,-0.07709803828164219
2018-04-30,652303,10.41068251869932,-5.642089743405455,0.15427013885103677,47.05882352941176,0,11.066605150574627,-0.655922631875308
2018-05-31,668940,14.787461133494872,-1.4078230664265945,0.36721826760651394,55.46218487394958,0,12.168090223069905,2.6193709104249674
2018-06-30,646931,10.726939126207943,-10.699581354663737,0.14992524419093467,46.21848739495798,0,12.171279313034123,-1.4443401868261798
2018-07-31,652790,9.82076465224575,-10.440744099337195,0.09239062883416521,43.69747899159664,0,14.005991175160904,-4.185226522915155
2018-08-31,652395,9.358211231932035,-4.082173407125932,0.060214650342861734,42.857142857142854,0,17.392025569963376,-8.033814338031341
2018-09-30,648126,6.892570761329564,-4.802779903578337,-0.07239175956646869,38.655462184873954,0,15.66350184173757,-8.770931080408007
2018-10-31,607645,-0.0317518812578354,-10.442434399957154,-0.4494012255042372,25.210084033613445,0,5.2996590635508545,-5.33141094480869
2018-11-30,592593,-5.551128267736871,-20.338589401231744,-0.7749963612010354,17.647058823529413,0,4.252562717651598,-9.803690985388469
2018-12-31,554285,-13.769955724815574,-24.49689485102352,-1.2619464721896927,7.563025210084033,0,-6.237259734965095,-7.532695989850479
2019-01-31,568433,-14.613288549471548,-24.434053201717298,-1.3622848524602535,6.722689075630252,0,-4.2393078854455535,-10.373980664025995
2019-02-28,581205,-9.899637865390098,-19.257849097322133,-1.1564432691310715,10.084033613445378,0,2.603700305472345,-12.503338170862442
2019-03-31,574013,-11.038148891489152,-17.930719652818716,-1.2817762303477322,7.563025210084033,0,7.328266821161211,-18.366415712650365
2019-04-30,588721,-9.74731068230562,-9.715558801047786,-1.2540604403786069,10.084033613445378,0,11.245255943052435,-20.992566625358055
2019-05-31,568751,-14.977277483780306,-9.426149216043434,-1.6422446631921588,3.361344537815126,0,1.7295870652467293,-16.706864549027035
2019-06-30,596304,-7.825718662423043,5.944237062392531,-1.2363742951868335,11.76470588235294,0,8.217792279932468,-16.04351094235551
2019-07-31,602139,-7.759156849829196,6.854131699642352,-1.2862168085636423,11.76470588235294,0,5.826459633063363,-13.58561648289256
2019-08-31,564894,-13.412273239371851,-3.5126353739817535,-1.7185535695050904,3.361344537815126,0,0.8595494775152313,-14.271822716887083
2019-09-30,555910,-14.228097622993063,-3.189948731503911,-1.8133038084251598,1.680672268907563,0,2.153755344923436,-16.3818529679165
2019-10-31,554604,-8.72894535460672,1.0183653276989002,-1.4095324589185494,10.92436974789916,0,12.015163695634534,-20.744109050241256
2019-11-30,563482,-4.912477872671461,10.064799611108844,-1.1200994056696107,20.168067226890756,0,13.796613976675353,-18.709091849346812
2019-12-31,579221,4.49876868398027,12.324487346403313,-0.436788493751656,36.134453781512605,0,28.87807407702896,-24.37930539304869
2020-01-31,561812,-1.1647810735829878,6.594375776246208,-0.8288451933653603,24.369747899159663,0,19.28257091083909,-20.447351984422077
2020-02-29,545127,-6.2074483185795,7.204824920792351,-1.174931316645703,17.647058823529413,0,6.0955507112613105,-12.30299902984081
2020-03-31,479291,-16.501716860071113,-2.2736192370780497,-1.8891900686824301,0.0,0,-8.813505503810326,-7.688211356260787
2020-04-30,524696,-10.875270289322104,-2.146324934715384,-1.4711804232202976,7.563025210084033,0,-1.1338060920012438,-9.74146419732086
2020-05-31,552543,-2.8497532312031115,2.0627246414683498,-0.8661647128856199,25.210084033613445,0,10.6193178927785,-13.469071123981612
2020-06-30,584676,-1.9500120743781713,-6.448780758358441,-0.7862671271440757,26.05042016806723,0,5.388950832154893,-7.338962906533064
2020-07-31,613830,1.9415782734551357,3.1063593470381234,-0.49005564348615177,35.294117647058826,0,9.755131895932735,-7.813553622477599
2020-08-31,645547,14.277545875863428,20.484994194442926,0.42053374964814066,60.50420168067227,0,19.609015670810457,-5.331469794947029
2020-09-30,654324,17.703225342231654,34.20494220230277,0.6700460840896498,70.58823529411765,0,12.975940122415807,4.7272852198158475
2020-10-31,659313,18.879957591362498,29.7552278806846,0.752778781362107,71.42857142857143,0,7.650877678136392,11.229079913226105
