,margin_debt,market_cap,ratio,pctl,zscore,delta_12m,delta_pctl
2006-01-31,255795,12953630.0,1.9746974400226036,92.5925925925926,1.5345487763606953,0.08403240644324805,46.2962962962963
2006-02-28,249609,12922270.0,1.9316188254849962,86.23853211009175,1.302184742140738,0.050594033434097074,37.61467889908257
2006-03-31,259370,13155440.0,1.9715798179308333,91.81818181818183,1.4801348690345546,0.022183558864838027,30.0
2006-04-30,265164,13280930.0,1.9965770469387312,98.1981981981982,1.5790836886984743,0.08302385215401675,46.846846846846844
2006-05-31,255608,12841690.0,1.9904545274025458,96.42857142857143,1.525794732633421,0.1291757996320777,58.92857142857143
2006-06-30,251495,12849290.0,1.9572676778250004,87.61061946902655,1.3459950044128388,0.06994001046846998,42.47787610619469
2006-07-31,256016,12789670.0,2.001740467111348,98.24561403508771,1.5402299883981843,0.11201802982770737,55.26315789473685
2006-08-31,249368,13062540.0,1.9090314747361539,80.8695652173913,1.0795811009096368,0.014969612416607436,28.695652173913043
2006-09-30,261769,13345970.0,1.961408575023022,87.06896551724138,1.3181223184561555,-0.029508697457176325,21.551724137931032
2006-10-31,267710,13829070.0,1.9358496269091123,82.05128205128204,1.1822325500327018,-0.05257139430906799,20.51282051282051
2006-11-30,294899,14116710.0,2.0890065744780477,98.30508474576271,1.884716952197037,0.1491762609159104,65.2542372881356
2006-12-31,303288,14257550.0,2.127209794109086,100.0,2.0226423573595804,0.177185468534639,69.74789915966386
2007-01-31,311506,14531920.0,2.143598368281686,100.0,2.053627113867886,0.16890092825908232,67.22689075630252
2007-02-28,321171,14271610.0,2.2504188385192703,100.0,2.4778861312248246,0.3188000130342741,82.35294117647058
2007-03-31,317737,14409270.0,2.2050874194181938,99.18032786885246,2.2070442456880595,0.2335076014873605,78.15126050420169
2007-04-30,342084,14952350.0,2.287827665885296,100.0,2.505517169303431,0.2912506189465647,80.67226890756302
2007-05-31,382312,15462160.0,2.472565281952845,100.0,3.1765469934855837,0.48211075455029917,91.59663865546219
2007-06-30,408444,15210650.0,2.6852501372393687,100.0,3.8192081626769343,0.7279824594143682,94.9579831932773
2007-07-31,416403,14682660.0,2.8360188140296105,100.0,4.103894741456746,0.8342783469182624,95.7983193277311
2007-08-31,362475,14847700.0,2.4412872027317363,97.63779527559055,2.515834163697523,0.5322557279955824,92.43697478991596
2007-09-30,359104,15362020.0,2.3376092467006293,96.875,2.075967924247144,0.3762006716776074,87.39495798319328
2007-10-31,376979,15673360.0,2.4052213437322947,96.89922480620154,2.256128547773065,0.46937171682318235,91.59663865546219
2007-11-30,379593,14932670.0,2.542030326793534,98.46153846153847,2.6516755593064874,0.4530237523154863,91.59663865546219
2007-12-31,355292,14819580.0,2.39744986025245,95.41984732824427,2.088947512772842,0.27024006614336393,79.83193277310924
2008-01-31,365592,13896650.0,2.630792313255353,98.48484848484848,2.791695946198069,0.48719394497366686,94.9579831932773
2008-02-29,377088,13455960.0,2.80238645180277,99.24812030075188,3.2106832899597775,0.5519676132834999,95.7983193277311
2008-03-31,349419,13332010.0,2.62090262458549,97.01492537313433,2.5335406630861796,0.4158152051672963,87.39495798319328
2008-04-30,332303,13991120.0,2.375099348729766,92.5925925925926,1.712846906843958,0.08727168284447018,46.21848739495798
2008-05-31,341610,14260760.0,2.395454379710478,92.64705882352942,1.7411846903036865,-0.07711090224236683,15.126050420168067
2008-06-30,346892,13073540.0,2.653389977006993,97.8102189781022,2.477587994260341,-0.03186016023237581,21.84873949579832
2008-07-31,343297,12946890.0,2.6515788733819474,97.10144927536231,2.39280994143976,-0.18443994064766311,11.76470588235294
2008-08-31,324814,13124490.0,2.4748694996910356,94.24460431654677,1.811857519444844,0.033582296959299374,35.294117647058826
2008-09-30,345745,11875410.0,2.9114363209354455,100.0,2.982157453056703,0.5738270742348162,95.7983193277311
2008-10-31,277568,9768640.0,2.8414190716414978,99.29078014184397,2.6831374085230286,0.4361977279092031,87.39495798319328
2008-11-30,227334,8945220.0,2.541402000174395,92.95774647887323,1.795877582979353,-0.0006283266191391412,26.05042016806723
2008-12-31,210185,9087170.0,2.3129863312780543,86.7132867132867,1.135446297479982,-0.0844635289743958,14.285714285714285
2009-01-31,205007,8335639.999999999,2.4594032371839476,90.97222222222221,1.5251275872847294,-0.1713890760714052,12.605042016806722
2009-02-28,199655,7473970.0,2.6713379903852976,96.55172413793103,2.0751214688815773,-0.1310484614174725,14.285714285714285
2009-03-31,203967,8113140.0,2.5140327912497504,91.78082191780823,1.6044098894152694,-0.10686983333573963,15.966386554621847
2009-04-30,208010,8962960.0,2.3207734944705765,85.03401360544217,1.0458040077214024,-0.054325854259189565,21.84873949579832
2009-05-31,214401,9408460.0,2.2788107724324704,83.1081081081081,0.9126266669351167,-0.11664360727800771,15.966386554621847
2009-06-30,217140,9428190.0,2.3030931705873554,83.89261744966443,0.9649462893580916,-0.35029680641963745,5.88235294117647
2009-07-31,228734,10158610.0,2.251626945024959,82.0,0.8058340486886406,-0.39995192835698834,3.361344537815126
2009-08-31,236251,10512490.0,2.2473362638157086,80.79470198675497,0.7798861608123399,-0.22753323587532703,12.605042016806722
2009-09-30,254107,10945170.0,2.321635936216614,85.52631578947368,0.9741017909266099,-0.5898003847188313,0.0
2009-10-31,265404,10655730.0,2.4907162625179127,91.50326797385621,1.4275436524277028,-0.3507028091235851,7.563025210084033
2009-11-30,250988,11249130.0,2.231176988798245,79.22077922077922,0.6817956944733061,-0.3102250113761498,11.76470588235294
2009-12-31,262399,11561720.0,2.2695498593634857,81.29032258064515,0.7776685320966105,-0.043436471914568564,28.57142857142857
2010-01-31,266455,11151230.0,2.3894673502384935,86.53846153846155,1.1011601281574712,-0.06993588694545405,24.369747899159663
2010-02-28,263657,11512410.0,2.2901981426999214,82.16560509554141,0.8155147738382615,-0.38113984768537623,5.88235294117647
2010-03-31,277798,12222290.0,2.272880123119317,80.37974683544303,0.7611957185346757,-0.24115266813043323,15.126050420168067
2010-04-30,295550,12477320.0,2.3686977652252246,85.53459119496856,1.0160837063129842,0.04792427075464811,44.537815126050425
2010-05-31,268566,11466300.0,2.342220245414824,85.0,0.9301757882418995,0.06340947298235378,48.739495798319325
2010-06-30,263202,10823310.0,2.431806905650859,88.81987577639751,1.1611778219445992,0.1287137350635037,63.86554621848739
2010-07-31,267468,11568570.0,2.3120230071651036,81.48148148148148,0.8202830099219542,0.06039606214014448,47.89915966386555
2010-08-31,268371,11001120.0,2.439487979405733,88.95705521472392,1.1524135563440847,0.19215171559002453,78.15126050420169
2010-09-30,288540,12020910.0,2.400317446848866,87.1951219512195,1.03091044098169,0.07868151063225204,53.78151260504202
2010-10-31,303428,12489090.0,2.4295445064452257,87.87878787878788,1.093361968816827,-0.06117175607268699,26.89075630252101
2010-11-30,309340,12541050.0,2.466619621164097,90.36144578313254,1.176321167258365,0.23544263236585206,85.71428571428571
2010-12-31,313678,13360130.0,2.347866375551735,82.63473053892216,0.8414861995554079,0.07831651618824909,53.78151260504202
2011-01-31,326868,13617530.0,2.400347199528843,86.30952380952381,0.9669564130802083,0.010879849290349242,38.655462184873954
2011-02-28,348979,14072160.0,2.479924901365533,91.71597633136095,1.161934703742112,0.1897267586656115,78.99159663865547
2011-03-31,355413,14101290.0,2.5204289820293035,92.94117647058823,1.249407772105535,0.24754885890998635,85.71428571428571
2011-04-30,360883,14495430.0,2.4896329394850656,91.22807017543859,1.1484237892975473,0.12093517425984102,63.86554621848739
2011-05-31,355736,14287490.0,2.4898425125756867,91.27906976744185,1.130642109761821,0.14762226716086246,69.74789915966386
2011-06-30,345273,14023070.0,2.46217839602883,87.86127167630057,1.0390945224461394,0.030371490377970822,38.655462184873954
2011-07-31,344572,13701740.0,2.514804689039494,92.52873563218391,1.1635226473099056,0.2027816818743906,80.67226890756302
2011-08-31,308866,12856310.0,2.4024467362719166,83.42857142857143,0.8434526215169711,-0.037041243133816515,26.05042016806723
2011-09-30,298277,11842120.0,2.5187804210732536,92.61363636363636,1.142206161471407,0.11846297422438745,60.50420168067227
2011-10-31,317028,13191070.0,2.4033531775663386,83.05084745762711,0.8128480465130395,-0.026191328878887088,26.89075630252101
