Date,margin_debt,margin_yoy,margin_pctl,free_credit,net_margin
2013-03-31,403933,22.102383507398393,97.5,144530,259403
2013-04-30,408677,21.93707967083789,98.33333333333333,140706,267971
2013-05-31,401606,27.434498821185027,95.83333333333334,146765,254841
2013-06-30,407681,27.02242079812558,96.66666666666667,150093,257588
2013-07-31,412101,31.44119288732956,98.33333333333333,144495,267606
2013-08-31,414442,29.353454329811647,98.33333333333333,143808,270634
2013-09-30,432852,27.625096193820585,99.16666666666667,149895,282957
2013-10-31,445022,29.999853939969334,99.16666666666667,151494,293528
2013-11-30,456378,29.859065959862384,99.16666666666667,150214,306164
2013-12-31,478502,34.78587866786476,99.16666666666667,157000,321502
2014-01-31,487549,25.61713683548772,99.16666666666667,151878,335671
2014-02-28,502093,28.626031443495737,99.16666666666667,154049,348044
2014-03-31,487932,20.795280405413763,98.33333333333333,156083,331849
2014-04-30,475195,16.276423679335995,95.83333333333334,149801,325394
2014-05-31,475362,18.365263467179282,95.83333333333334,150474,324888
2014-06-30,502270,23.201718991073903,99.16666666666667,160293,341977
2014-07-31,498671,21.006986151453155,97.5,155931,342740
2014-08-31,501000,20.88543149584261,97.5,155245,345755
2014-09-30,503901,16.4141554157079,99.16666666666667,161621,342280
2014-10-31,492888,10.755872743369999,95.0,158624,334264
2014-11-30,496341,8.756557064538617,95.0,158420,337921
2014-12-31,495756,3.6058365482275923,94.16666666666667,169295,326461
2015-01-31,485872,-0.34396542706476296,90.83333333333333,163599,322273
2015-02-28,504923,0.5636406004465355,99.16666666666667,168371,336552
2015-03-31,518055,6.173606158235168,99.16666666666667,171625,346430
2015-04-30,549964,15.734382727090978,99.16666666666667,168430,381534
2015-05-31,541671,13.949158746386958,98.33333333333333,166334,375337
2015-06-30,547957,9.0961036892508,98.33333333333333,170614,377343
2015-07-31,530744,6.431695446496799,96.66666666666667,168659,362085
2015-08-31,515960,2.98602794411178,95.0,175647,340313
2015-09-30,497279,-1.3141470249116383,89.16666666666667,173760,323519
2015-10-31,513941,4.271355764392726,94.16666666666667,174437,339504
2015-11-30,515410,3.8419151349576186,94.16666666666667,174607,340803
2015-12-31,503444,1.5507628752854163,90.83333333333333,181812,321632
2016-01-31,487200,0.27332301511509005,81.66666666666667,180616,306584
2016-02-29,474156,-6.093404340859898,77.5,178989,295167
2016-03-31,483909,-6.591192054897643,80.0,182673,301236
2016-04-30,495178,-9.961742950447661,84.16666666666667,176016,319162
2016-05-31,489867,-9.563738874704386,82.5,177161,312706
2016-06-30,487636,-11.008345545362141,80.83333333333333,186233,301403
2016-07-31,513221,-3.3015917278386597,92.5,183435,329786
2016-08-31,510157,-1.1246995891154299,91.66666666666666,177764,332393
2016-09-30,540615,8.714624989191178,96.66666666666667,184757,355858
2016-10-31,523760,1.9105305861957023,95.0,182051,341709
2016-11-30,539972,4.765526474069182,95.83333333333334,179598,360374
2016-12-31,529372,5.1501259325764215,94.16666666666667,188062,341310
2017-01-31,553557,13.620073891625605,99.16666666666667,186301,367256
2017-02-28,568637,19.926142451007678,99.16666666666667,185720,382917
2017-03-31,577674,19.376577001047714,99.16666666666667,186892,390782
2017-04-30,590797,19.31002588968007,99.16666666666667,180908,409889
2017-05-31,582764,18.963718723653567,98.33333333333333,176970,405794
2017-06-30,584258,19.814369734802195,98.33333333333333,176707,407551
2017-07-31,594414,15.820280152215126,99.16666666666667,173195,421219
2017-08-31,596567,16.93792303153736,99.16666666666667,170524,426043
2017-09-30,606334,12.156340464101078,99.16666666666667,172872,433462
2017-10-31,607838,16.052772262104774,99.16666666666667,169368,438470
2017-11-30,627422,16.195284199921467,99.16666666666667,170948,456474
2017-12-31,642798,21.42652048087168,99.16666666666667,172999,469799
2018-01-31,665716,20.261508751582944,99.16666666666667,168450,497266
2018-02-28,645064,13.440384639057967,98.33333333333333,164657,480407
2018-03-31,645235,11.695350664907899,98.33333333333333,166148,479087
2018-04-30,652303,10.410682518699321,98.33333333333333,155989,496314
2018-05-31,668940,14.787461133494872,99.16666666666667,155344,513596
2018-06-30,646931,10.726939126207945,96.66666666666667,157150,489781
2018-07-31,652790,9.82076465224575,97.5,148947,503843
2018-08-31,652395,9.358211231932035,96.66666666666667,148873,503522
2018-09-30,648126,6.892570761329564,95.0,151384,496742
2018-10-31,607645,-0.03175188125783546,89.16666666666667,148037,459608
2018-11-30,592593,-5.551128267736871,85.83333333333333,146452,446141
2018-12-31,554285,-13.769955724815574,80.83333333333333,159572,394713
2019-01-31,568433,-14.613288549471548,80.83333333333333,151804,416629
2019-02-28,581205,-9.899637865390098,82.5,149686,431519
2019-03-31,574013,-11.038148891489152,80.83333333333333,141074,432939
2019-04-30,588721,-9.74731068230562,84.16666666666667,143802,444919
2019-05-31,568751,-14.977277483780306,79.16666666666666,137489,431262
2019-06-30,596304,-7.825718662423043,86.66666666666667,139826,456478
2019-07-31,602139,-7.759156849829196,87.5,138703,463436
2019-08-31,564894,-13.412273239371853,75.0,135567,429327
2019-09-30,555910,-14.228097622993063,74.16666666666667,150648,405262
2019-10-31,554604,-8.72894535460672,73.33333333333333,145650,408954
2019-11-30,563482,-4.912477872671461,74.16666666666667,146935,416547
2019-12-31,579221,4.49876868398027,79.16666666666666,151543,427678
2020-01-31,561812,-1.1647810735829878,72.5,152854,408958
2020-02-29,545127,-6.2074483185795,66.66666666666666,163001,382126
2020-03-31,479291,-16.501716860071113,40.0,191046,288245
2020-04-30,524696,-10.875270289322103,61.66666666666667,180942,343754
2020-05-31,552543,-2.8497532312031115,68.33333333333333,175794,376749
2020-06-30,584676,-1.9500120743781713,81.66666666666667,185497,399179
2020-07-31,613830,1.9415782734551357,90.0,181420,432410
2020-08-31,645547,14.277545875863428,93.33333333333333,185113,460434
2020-09-30,654324,17.703225342231654,97.5,189462,464862
2020-10-31,659313,18.879957591362494,97.5,193293,466020
2020-11-30,722118,28.152807010694225,99.16666666666667,200723,521395
2020-12-31,778037,34.324722342594626,99.16666666666667,224987,553050
2021-01-31,798605,42.14808512456125,99.16666666666667,224133,574472
2021-02-28,813680,49.264299878743856,99.16666666666667,220840,592840
2021-03-31,822551,71.61828617687375,99.16666666666667,219522,603029
2021-04-30,847186,61.462256239803615,99.16666666666667,218132,629054
2021-05-31,861626,55.938270867606676,99.16666666666667,213356,648270
2021-06-30,882103,50.87039659572139,99.16666666666667,221862,660241
2021-07-31,844324,37.550136031148696,96.66666666666667,215463,628861
2021-08-31,911545,41.20505555753493,99.16666666666667,219365,692180
2021-09-30,903117,38.022906083224825,98.33333333333333,229279,673838
2021-10-31,935862,41.94502459378171,99.16666666666667,226159,709703
2021-11-30,918598,27.208849523208123,98.33333333333333,235638,682960
2021-12-31,910021,16.963717663812904,96.66666666666667,250435,659586
2022-01-31,829637,3.8857758215888882,91.66666666666666,247752,581885
2022-02-28,835255,2.651533772490411,91.66666666666666,250686,584569
2022-03-31,799660,-2.7829277455136525,88.33333333333333,256076,543584
2022-04-30,772940,-8.763836985030437,85.83333333333333,242724,530216
2022-05-31,752944,-12.613593368816634,85.0,244857,508087
2022-06-30,683445,-22.52095276855424,83.33333333333334,249399,434046
2022-07-31,696781,-17.474689811020415,83.33333333333334,232147,464634
2022-08-31,687787,-24.547115062887737,82.5,226182,461605
2022-09-30,664009,-26.47586082423429,79.16666666666666,223400,440609
2022-10-31,649618,-30.586133425654637,74.16666666666667,216057,433561
2022-11-30,643783,-29.916786232933234,69.16666666666667,205158,438625
2022-12-31,606659,-33.3357142307705,64.16666666666667,205902,400757
2023-01-31,641228,-22.709811640512655,67.5,208720,432508
2023-02-28,624379,-25.246900647107772,65.83333333333333,198644,425735
2023-03-31,645429,-19.28707200560238,70.83333333333334,191618,453811
2023-04-30,631949,-18.240872512743557,65.83333333333333,175460,456489
2023-05-31,644170,-14.44649270065237,68.33333333333333,178576,465594
2023-06-30,681228,-0.3243860149682809,80.83333333333333,181569,499659
2023-07-31,709834,1.873328922573947,83.33333333333334,174804,535030
2023-08-31,689185,0.20326060248303524,81.66666666666667,177711,511474
2023-09-30,680846,2.535658402220453,78.33333333333333,153918,526928
2023-10-31,635276,-2.207759021455691,61.66666666666667,162865,472411
2023-11-30,660887,2.656795845805182,75.0,171207,489680
2023-12-31,700774,15.513657590178331,82.5,161639,539135
2024-01-31,701975,9.473541392453221,82.5,165025,536950
2024-02-29,742963,18.992310759971097,84.16666666666667,166144,576819
2024-03-31,784136,21.490667447542645,86.66666666666667,166990,617146
2024-04-30,775464,22.709902223122434,85.0,161749,613715
2024-05-31,809431,25.654873713460734,88.33333333333333,155256,654175
2024-06-30,809322,18.803396219767833,87.5,157240,652082
2024-07-31,810835,14.228819695872552,88.33333333333333,154951,655884
2024-08-31,797162,15.667346213280897,84.16666666666667,148702,648460
2024-09-30,813211,19.44125396932639,88.33333333333333,167901,645310
2024-10-31,815369,28.34878068744924,89.16666666666667,173621,641748
2024-11-30,890852,34.79641754187932,95.0,170052,720800
2024-12-31,899168,28.31069645848734,95.0,181280,717888
2025-01-31,937253,33.516578225720295,99.16666666666667,178301,758952
2025-02-28,918144,23.57869772788146,96.66666666666667,183278,734866
2025-03-31,880316,12.265729414285275,90.83333333333333,189855,690461
2025-04-30,850558,9.68375063187976,89.16666666666667,187958,662600
2025-05-31,920960,13.7786914511552,97.5,187685,733275
2025-06-30,1007961,24.543877467806396,99.16666666666667,200573,807388
2025-07-31,1022548,26.11049103701739,99.16666666666667,194712,827836
2025-08-31,1059723,32.936968897162686,99.16666666666667,188221,871502
2025-09-30,1126494,38.52419605735782,99.16666666666667,204106,922388
2025-10-31,1183654,45.16789330965489,99.16666666666667,197923,985731
2025-11-30,1214321,36.310071706635895,99.16666666666667,202131,1012190
